pop_size,gene_count,mutation_rate,elite_fraction,gen_0_best,gen_1_best,gen_2_best,gen_3_best,gen_4_best,gen_0_avg,gen_1_avg,gen_2_avg,gen_3_avg,gen_4_avg
5,3,0.05,0.4,3.78004235344678,2.32663799893134,1.152747181737735,3.637097346273536,2.517128160823077,2.0772510078111295,0.8631088070904571,0.7479918199872354,1.2634219411780658,1.4348101713364332
10,3,0.05,0.4,4.286748578653408,3.75839421257826,2.961468348604498,3.4810318365213258,2.315719957640236,1.7316237271476225,1.2259483316149506,1.1053989787331697,1.3775471383544506,1.36120308509616
15,3,0.05,0.4,5.0401260982311245,4.5767192316253205,3.9966917909576383,3.64892595228289,5.222040379497856,2.0318561955249215,1.2805307559143266,1.2595408862634696,1.285297758710665,2.3272582524479235
